Make,Age_coef,Milage_coef,Intercept
INFINITI,-1493.7164861822803,-0.06195103991965417,33191.8620414949
Suzuki,-344.2423484602017,-0.02572777689430068,12549.669855896507
Honda,-825.5179499508552,-0.07012061588899883,25020.70751050779
Cadillac,-1460.3835190165896,-0.10919314697894364,38353.84717947203
Land Rover,-995.2514322279018,-0.18927860831599091,45514.078093289136
Nissan,-423.9927356723419,-0.08886322357519308,20304.475509723336
Mazda,-908.1723244721686,-0.08390549184068659,24917.104582588792
BMW,-1483.4543204491026,-0.14740977509656314,39980.90613343865
Toyota,-752.076600799048,-0.06524215177368194,24965.799540691405
Saturn,-631.7792213668938,-0.04860390379304568,18409.098570938957
GMC,-1389.9847044316793,-0.06425681713302779,33622.30976665715
Chevrolet,-691.1846949754602,-0.07959780683413971,24847.03004851941
Bentley,-1956.4939436466566,-0.3799100212058079,86078.45268199703
Mercury,-114.30162918452453,-0.0697159309554308,15242.947296872204
Hyundai,-456.0691318913176,-0.08066186790456524,19001.999662710587
Ford,-822.6578437751944,-0.08728052608396568,27078.41262572734
Aston Martin,-3747.8601251765344,-0.29297174995691194,94131.38855571482
Chrysler,-817.6511065645637,-0.10903470039939563,26141.58222178694
Acura,-1574.5047148567544,-0.0455137209768472,30573.193381614565
Kia,-665.2558486294846,-0.08441043660484424,20372.315892888957
Mercedes-Benz,-1469.0908605828836,-0.12826830373356143,41113.22733153932
Audi,-1158.4883065379604,-0.19752344631120625,41166.78491624248
Dodge,-162.5970179832488,-0.11625897324014317,23069.048513946324
MINI,-1036.044141573991,-0.074533361820282,24193.75808437533
Jaguar,-1147.9531902423535,-0.20709393640889462,42413.72824302043
Mitsubishi,-21.633108874352715,-0.08822581577884114,17660.89482625261
Tesla,-1604.0028400154802,0.10448244535703918,48903.18592767653
Volkswagen,-1062.0909652119747,-0.06800249817426277,23581.949917879338
Buick,-1167.458632108353,-0.06492742856226054,25670.83478887995
RAM,-1264.8717611572617,-0.06154982930312277,33879.54937921694
Saab,-415.5583559871412,-0.032450660742516645,14897.942101405446
Volvo,-1835.1428093041818,-0.1365953265898061,40795.13159903894
Subaru,-1031.2927549919239,-0.0675056138134663,26966.32784642373
Lexus,-1451.7784773213932,-0.06342045321086749,36472.489000661095
Pontiac,-331.24347098101424,-0.0778447621930516,20553.283072947386
Lotus,-2398.519542866472,-0.02458990439500321,69860.53566401775
Maserati,-1637.4801799435782,-0.2893610950148064,53511.87533017632
Lincoln,-1623.1047768218784,-0.07142678949181214,33390.07486492401
Scion,-545.5183896897926,-0.026923948945971034,15154.798772579688
Genesis,-2241.2125286800037,-0.1904750411533486,41152.340799066966
FIAT,-651.2708312159452,-0.03273525737042934,13263.20297396762
Jeep,-820.0065728180386,-0.1063068890672362,28141.667596504336
Porsche,-1372.8879625021366,-0.22343374551910697,55168.78040597537
Hummer,-1201.0205581715604,-0.12293161754620872,48476.78343726649
smart,-563.2911761901016,-0.026119691476418162,12187.605590572783
Ferrari,0.0,0.0,57000.0
Alfa,994.6661706953124,-0.4933070707148101,38396.87524879722
Fisker,0.0,-0.09241579530468884,36283.28256718055
Oldsmobile,-113.12232673680349,0.008763978350090568,3694.8482388955426
Rolls-Royce,0.0,0.0,60000.0
